code,sampling_date,sample_description,sample_description_old,planting_date,lat,long,toc,soc_stock,soc_stock_unit,depth,bd,LC1_Desc
37423108,2018-05-25,f68190d1-0cda-4447-9ba1-89f8c9fbc369,4aa35e08-b9fc-4911-829f-aa96048120d7,2015-05-25,50.79008628,1.769126719,54.0,51.573183840000006,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37442606,2018-07-15,9d99fa77-c084-4222-aef0-fbe4f518396c,bacabb66-681e-41e2-b0fb-3c33b508a1ea,2015-07-15,46.30499991,2.503975558,33.6,25.22326900800001,tC/acre,0.2,0.9275,Grassland without tree/shrub cover
37442620,2018-07-08,fd8b73b9-b91d-42ad-8175-46577bcb4168,918422f4-9640-49b5-ad2f-e317df92c64b,2015-07-08,46.43035046,2.486337561,35.1,33.52256949600001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37462438,2018-08-15,73e0716e-aa34-475c-a00d-2fdec255d9ad,bc2c60b6-a735-4aaf-a0c5-b824c73ad266,2015-08-15,44.80145783,2.732729248,54.0,51.573183840000006,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37462484,2018-06-02,f45128ea-68de-4d5c-be29-0d6a16921e1c,bb2bfede-e53d-4382-a057-83fa10cfff2f,2015-06-02,45.21384302,2.678598662,150.3,71.34691070340001,tC/acre,0.2,0.5865,Grassland without tree/shrub cover
37462568,2018-10-13,1b1c651e-58ad-48af-b155-614ce78e7ed5,0a6503cb-e973-4a36-9a3c-0ac15db036bc,2015-10-13,45.96649206,2.576986739,79.1,75.54516373600002,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37482560,2018-10-08,5be9d7d5-2fde-46ea-aedf-122e80b718cd,cc8da700-b75b-4718-bb51-4e67c6a28f04,2015-10-08,45.89662209,2.612459809,39.9,38.10685250400001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37482588,2018-07-14,e45c3a76-566a-4c64-a4ac-cfc769873627,f71ee3f8-3244-42f6-bdbc-af52223d48a9,2015-07-14,46.14741852,2.578006443,42.0,40.112476320000006,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37502424,2018-08-10,06dafd69-e4b8-4c61-b53e-a891e6a6bca4,448a1161-d1b0-41e7-8224-47093a82fa72,2015-08-10,44.67939939,2.799171292,77.8,74.303587088,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37502442,2018-08-12,7087a766-ba47-48dd-b5d5-3eb6d4871f2d,2320089e-8bde-4084-8ac9-261ec8a89e11,2015-08-12,44.84081728,2.77838045,88.4,84.42721206400003,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
